orden,codigo,nombre,categoria,descripcion,especificaciones,beneficios,presentacion,imagen,pdf
24,AL012,Gold Feed (Microparticulados),alimentos,"Alimento microparticulado premium formulado especialmente para larvas de camarón en estadios de Mysis y Postlarva (PL). Su composición con ingredientes marinos de alta calidad asegura una nutrición eficiente, crecimiento saludable y excelente supervivencia.","ANÁLISIS GARANTIZADO
• Proteína Cruda: 50% mín.
• Grasa Cruda: 9% mín.
• Fibra Cruda: 3% máx.
• Ceniza Total: 8% máx.
• Humedad: 5% máx.
CARACTERÍSTICAS FÍSICAS
• Aspecto: Microparticulado
• Color: Oscuro
• Olor: Mariscoso
• Tamaños de partícula disponibles: <150 μm, <250 μm, <350 μm
APLICACIÓN
Ajustar dosis según el estadio larval. Frecuencia de alimentación: 4–6 veces al día en estadios iniciales y 8–12 veces en PL. Distribuir uniformemente para mayor eficiencia.","Alta palatabilidad, digestibilidad y flotabilidad. Estimula el apetito, promueve una coloración oscura saludable del hepatopáncreas e intestino, y mejora el desempeño larval gracias a sus proteínas marinas altamente digeribles.","• Fundas de aluminio selladas al vacío de 3 kg
Almacenar en lugar fresco, seco y ventilado. No requiere refrigeración ni condiciones especiales de transporte. Mantener fuera del alcance de los niños.",AL012_GOLD_FEED_Microparticulados.png,AL012_GOLD_FEED_Microparticulados.PDF
25,AL013,Krill Congelado,alimentos,"El Krill (FRESH FROZEN KRILL – ANTARTIC KRILL) procesado en Canadá y capturado en el Océano Austral, es un alimento ampliamente utilizado en la acuicultura, en cultivos de peces y camarones, principalmente en la etapa de maduración. Alimento con alto contenido de Omega-3 que promueve la salud y bienestar del camarón por sus altos contenidos de fosfolípidos, colina y astaxantina, los mismos que realizan funciones biológicas esenciales tanto como factores enzimáticos, como reguladores del sistema inmune. Permite suplir las necesidades y requerimientos de los reproductores de Penaeus vannamei en el proceso de maduración.","PERFIL NUTRICIONAL
Proteína (Min.).        12% Grasa (Min.).                4%
Ceniza (Min.).        2.3%
Colesterol (Min.).        46 mg
Fibra (Min.).        1%
Vitamina D (Min.).        0.23 mg
Calcio (Min.).        282 mg
Hierro (Min.).        0.71 mg
Potasio (Min.).        233 mg
PERFIL DE ÁCIDOS GRASOS
Grasa saturada (Min.).        41.8%
Monoinsaturado (Min.).        20.1%
Poliinsaturado (Min.).        37.9%
Grasas trans (Min.).        0.01%
Colesterol (Min.).        49.48 mg/100gms

Libre de patógenos, contaminantes, con humedad Max del 80%, mide entre 3-6 cm de largo.","•	Incrementa porcentaje en hembras copuladas.
•	Mayor número de nauplios por hembra.
•	Porcentaje mayor de huevos viables.
•	Nauplios de mejor calidad.
•	Alta supervivencia en las postlarvas.
•	Mejora la sobrevivencia en hembras.","APLICACIÓN
Alimentación sugerida para los camarones reproductores en los laboratorios de maduración que mantienen ciclo cerrado: De 3 al 8% de la biomasa de los organismos.
PRESENTACIÓN Y ALMACENAMIENTO
Presentación de 25kg. Mantener congelado a -20°C, debe estar protegido de la humedad, contaminación, luz directa
del sol. No apto para el consumo humano.",AL013_KRILL_CONGELADO.PNG,AL013_KRILL_CONGELADO.PDF
26,AL014,Larva AP 100 (Microparticulados),alimentos,"Dieta granulada e hidroestable en micropartículas finas, científicamente formulada por Zeigler Bros. Inc. (EE. UU.) para la alimentación de camarones en estadios larvales y postlarvales. Ofrece una nutrición balanceada y de alta digestibilidad, ideal para cultivos intensivos en laboratorio.","Análisis garantizado:
• Proteína cruda: mínimo 50%
• Grasa cruda: mínimo 12%
• Fibra cruda: máximo 2.5%
• Ceniza total: máximo 15%
• Humedad: máximo 10%
• Fósforo: mínimo 1.3%
Ingredientes activos:
• Proteínas marinas y vegetales
• Lecitina
• Levaduras
• Subproductos de granos procesados
• Espesante y emulsionante
• Minerales y vitaminas","Alta atractabilidad y digestibilidad.
Contiene niveles óptimos de ácidos grasos insaturados (HUFA).
Mejora el rendimiento y la salud en las primeras etapas de vida del camarón.
Estabilidad en agua, ideal para alimentación en sistemas larvarios.","Latas de 500 g
• Almacenar en lugar fresco, seco, ventilado y alejado de la luz solar y paredes
• Producto seguro, sin requisitos especiales de transporte
• Latas abiertas: conservar cerradas a 20 °C o menos",AL014_LARVA_AP_100_Microparticulados.png,AL014_LARVA_AP_100_Microparticulados.PDF
27,AL015,Larva Z - Plus (Microparticulados),alimentos,"Dieta especializada para larvas y postlarvas de camarón desarrollada por Zeigler Bros. Inc. (EE. UU.). Su formulación balanceada incluye ingredientes de alta calidad para promover el crecimiento, el desarrollo saludable y la resistencia inmunológica en etapas tempranas del cultivo. Las micropartículas semiflotantes permiten una mejor disponibilidad del alimento en la columna de agua.","Análisis garantizado:
• Proteína cruda: mínimo 50%
• Grasa cruda: mínimo 15%
• Fibra cruda: máximo 2%
• Ceniza cruda: máximo 8%
• Humedad: máximo 12%
• Fósforo: máximo 0.9%
Ingredientes activos:
• Proteínas marinas y vegetales
• Lecitina
• Levadura
• Subproductos de granos procesados
• Aminoácidos
• Minerales y vitaminas
• Conservantes y pigmentos","Micropartículas de hundimiento lento para mejor absorción en la columna de agua.
Altos niveles de ácidos grasos insaturados (HUFA) para favorecer el desarrollo larval.
Contiene Vpak para estimular el sistema inmunológico.
Promueve el crecimiento eficiente y la supervivencia de larvas y postlarva","• Latas de 500 g
• Almacenar en lugar fresco, seco, ventilado, alejado de la luz solar y de las paredes
• Producto seguro y sin requisitos especiales de transporte
• Latas abiertas: conservar cerradas a 20 °C o menos",AL015_LARVA_Z___PLUS_Microparticulados.png,AL015_LARVA_Z___PLUS_Microparticulados.PDF
28,AL016,Mejillones,alimentos,"Dentro de los compuestos fundamentales en la dieta se encuentran los ácidos grasos de la serie linolénica (w3, de origen marino), colesterol y sus derivados. Los moluscos como los mejillones pueden suministrar hasta 94,6 kcal a partir del consumo de ácidos grasos Omega-3 EPA y DHA, ambos como fuente nutricional más adecuada en la maduración combinada con calamares y artemia. También contiene los aminoácidos esenciales como la lisina que contribuye a la regulación celular.

Nuestro mejillón (Mytilus chilensis) proviene de la acuicultura de Chile y es procesado sin aditivos ni preservantes y contiene el siguiente perfil nutricional de acuerdo a 100gr. Están libres de enfermedades por virus de: WSSV, TSV, NHP, IHHNV, Vibrios, Baculovirus.","ANÁLISIS GARANTIZADO
Proteína.	14,8 gr Grasas totales (ácidos grasos saturados).	1,08 gr
Carbohidratos.	6,36 gr
EPA.	231 mg
DHA.	92,6 mg
Calorías.	94,6 kcal
Humedad.	(Máximo) 37%","El mejillón es considerado un buen alimento para el proceso de maduración de los camarones en tanques controlados, ya que aporta nutrientes como las proteínas, aminoácidos esenciales, ácidos grasos Omega-3, vitamina B-12, Fósforo, Potasio y Zinc.","PRESENTACIÓN Y ALMACENAMIENTO
Cartones de 13,4kg, contiene fundas transparentes de 3.35kg. Almacenar a -18 C. Este producto debe de ser protegido de humedad, contaminación y luz del sol. Seguro para el uso indicado, mantener fuera del alcance de los niños.
APLICACIÓN
Se recomienda la dosificación de mejillón entre el 2 - 4% de la biomasa del tanque, el cual puede ser repartido en 2 a 4 raciones diarias. En ciertos casos se utilizan algunos de estos alimentos naturales suplementados con dietas peletizadas como EZ mate y Redimate.",AL016_MEJILLONES.PNG,AL016_MEJILLONES.PDF
29,AL017,MPs (Microparticulados),alimentos,"Alimento microparticulado de alta calidad para larvas de camarón y peces. Su formulación nutricional completa, con excelente estabilidad y flotabilidad, está diseñada para maximizar la salud, crecimiento y sobrevivencia en las primeras etapas de desarrollo.","ANÁLISIS GARANTIZADO
• Proteína Cruda: 50% mín.
• Grasa Cruda: 14% mín.
• Fibra Cruda: 3% máx.
• Ceniza Total: 6% máx.
• Humedad: 6% máx.
APLICACIÓN
Utilizar en fases larvarias de camarones y peces según requerimientos nutricionales y protocolo de alimentación en laboratorio.","Proporciona una dieta balanceada que estimula el crecimiento, la vitalidad y una coloración oscura prolongada en el hepatopáncreas e intestino. Su permanencia en la columna de agua permite un mejor aprovechamiento por parte de las larvas.","• Latas de 500g
• Baldes de 4kg
Almacenar en un lugar fresco, seco y protegido de la luz solar. No requiere refrigeración mientras el empaque esté sellado.",AL017_MPs_Microparticulados.png,AL017_MPs_Microparticulados.PDF
30,AL018,P. Vannamei Microparticulado,alimentos,"P. vannamei Microparticulado es una dieta balanceada diseñada por Higashimaru Co., Ltd. para el cultivo en laboratorio de larvas de camarón Litopenaeus vannamei. Esta dieta está formulada para cubrir los requerimientos nutricionales desde la etapa zoea hasta postlarva (PL), utilizando partículas de tres tamaños (30 a 300 micras) que se adaptan a las diferentes fases del desarrollo larval. Hecho en Japón","Análisis Garantizado:
Proteína cruda (mínima): 52%
Grasa cruda (mínima): 7%
Fibra cruda (máxima): 3%
Ceniza cruda (máxima): 16%
Humedad (máxima): 10%
Fósforo (mínima): 1%
Tamaños de partículas disponibles:
#0: 30–50 micras
#1: 80–130 micras
#2: 200–300 micras
Ingredientes activos:
Proteínas de origen animal y marino
Aceites marinos y vegetales
Algas
Levaduras
Pigmentos
Colesterol
Vitaminas y minerales esenciales","Satisface los requerimientos nutricionales completos de larvas de P. vannamei

Optimiza el crecimiento desde zoea hasta postlarva

Favorece una alimentación eficiente según el tamaño larval

Mejora la tasa de supervivencia en cultivos de laboratorio

Apoya el desarrollo saludable y uniforme de las larvas

Formulación estable y de alta digestibilidad","Presentación: Fundas de 1 kg

Condiciones de almacenamiento:

Conservar en un lugar fresco (15 °C / 57 °F) y seco

Evitar la exposición directa a la luz solar

Consumir lo antes posible después de abrir la bolsa",AL018_P_VANNAMEI_Microparticulado.png,AL018_P_VANNAMEI_Microparticulado.PDF
31,AL019,Pre-Mix PL Raceway 40-9,alimentos,"Mini pellet formulado especialmente para post-larvas de camarón Penaeus vannamei durante su transición de criaderos controlados a estanques o piscinas con menor productividad primaria. Elaborado por Zeigler Bros. Inc. (EE. UU.), este alimento busca mejorar la aclimatación, crecimiento y supervivencia en los primeros 30 a 45 días de cultivo intensivo.","Análisis garantizado:
• Proteína cruda: mínimo 40%
• Grasa cruda: mínimo 9%
• Fibra cruda: máximo 3%
• Humedad: máximo 10%
• Ceniza: máximo 13%
• Fósforo: mínimo 1.1%","Alto contenido de HUFAs (ácidos grasos altamente insaturados) de origen marino de alta calidad
Mejora el rendimiento zootécnico y la calidad del agua
Permite alimentación de precisión por su variedad de tamaños de partícula
Facilita la aclimatación y mejora la supervivencia de las post-larvas","Sacos de 20 kg
• Vida útil de hasta 24 meses desde la fecha de fabricación
• Almacenar en lugar fresco, seco, bien ventilado y protegido de la luz solar
• No requiere refrigeración si se mantiene en su empaque original sellado
• No requiere condiciones especiales de transporte",AL019_PRE_MIX_PL_RACEWAY_40_9.PNG,AL019_PRE_MIX_PL_RACEWAY_40_9.PDF
32,AL020,Redi-Mate,alimentos,"Redi-Mate es una dieta semi-húmeda de alta calidad, especialmente formulada para la maduración de camarones peneidos. Mejora significativamente los índices reproductivos, incrementa la producción de nauplios viables y fortalece la bioseguridad del sistema. Contiene Vpak (Vitality Pak) para reforzar la salud y resistencia inmunológica del animal.","ANÁLISIS GARANTIZADO:
Proteína Cruda: mínimo 40.0%
Grasa Cruda: mínimo 9.0%
Fibra Cruda: máximo 2.0%
Humedad: máximo 30.0%
Ceniza: máximo 10.0%
Fósforo: mínimo 1.0%
APLICACIÓN:
Dosificar 2.5% a 3.5% de la biomasa por día, ajustando según el consumo observado.
Por cada 1 kg de Redi-Mate, reducir 3.5 kg de alimento fresco.
Puede usarse de forma continua con alimentadores automáticos o repartirse en 4 a 6 raciones diarias, alternando con alimentos frescos.","Mejora la eficiencia reproductiva del camarón al aumentar la cantidad y calidad de nauplios, gracias a su alta palatabilidad, bioseguridad y aporte balanceado de nutrientes esenciales como HUFAs, astaxantina y vitaminas. Su formulación semi-húmeda reduce el uso de alimento fresco, mejora la salud gonadal y es compatible con alimentadores automáticos, asegurando mejores resultados en maduración.","Pellet semi-húmedo en baldes de 15 kg y fundas de 5 kg.
Vida útil: Hasta 2 años desde la fecha de fabricación.
Condiciones: Almacenar en un lugar fresco, seco, ventilado y protegido de la luz solar.
No requiere refrigeración ni condiciones especiales de transporte.
Mantener fuera del alcance de los niños.",AL020_REDI_MATE.PNG,AL020_REDI_MATE.PDF
33,AL021,Shrimp Meal Starter 55-15,alimentos,"Dieta desarrollada por Zeigler Bros. Inc. (EE. UU.) para raceways y pre-cría de camarones. Se trata de un alimento altamente nutricional, diseñado para favorecer un crecimiento rápido y una aclimatación eficiente de las postlarvas durante su siembra.","Análisis garantizado:
• Proteína cruda: mínimo 55%
• Grasa cruda: mínimo 15%
• Fibra cruda: máximo 2%
• Humedad: máximo 10%
• Ceniza: máximo 12%
• Fósforo: mínimo 1.3%
Ingredientes activos:
• Proteínas animales (marinas y terrestres)
• Proteínas vegetales
• Subproductos de granos procesados
• Lecitina
• Levaduras
• Conservantes
• Vitaminas y minerales","Altos niveles de HUFA (Ácidos Grasos Altamente Insaturados) de origen marino
Reservas nutricionales de rápida disponibilidad que favorecen la aclimatación en siembra
Mejora la tasa de supervivencia al ofrecer un perfil nutricional completo
Micropartículas libres de bacterias patógenas
Óptima digestibilidad que favorece el crecimiento en estadios tempranos de postlarva","• Baldes de 16.3 kg
• Sacos de 20 kg
• Vida útil de hasta 24 meses desde la fecha de fabricación
• Almacenar en lugar fresco, seco y bien ventilado, protegido de la luz solar y lejos de las paredes
• No requiere refrigeración si permanece sellado en su empaque original
• No requiere condiciones especiales de transporte",AL021_SHRIMP_MEAL_STARTER_55_15.PNG,AL021_SHRIMP_MEAL_STARTER_55_15.PDF
34,AL022,Z Pro (Microparticulados),alimentos,"Dieta premium desarrollada por Zeigler Bros. Inc. (EE. UU.), formulada específicamente para la alimentación de camarones desde la fase Zoea (Z) hasta Postlarval (PL). Diseñada para promover un rápido crecimiento y fortalecer el sistema inmunológico, manteniendo la calidad del agua y optimizando la eficiencia proteica en sistemas de cultivo larvario.","Análisis garantizado:
• Proteína cruda: mínimo 44%
• Grasa cruda: mínimo 8.0%
• Fibra cruda: máximo 2.0%
• Humedad: máximo 12.0%
• Ceniza: máximo 13.0%
• Fósforo: mínimo 1.0%
Ingredientes activos:
• Proteínas marinas y vegetales
• Lecitina
• Levadura
• Subproductos de granos procesados
• Aminoácidos
• Minerales y vitaminas
• Conservantes
Almacenamiento:
• Conservar en lugar fresco (22 °C), seco, ventilado y sin exposición directa al sol
• El almacenamiento refrigerado o congelado prolonga su vida útil
• Latas abiertas: conservar bien cerradas a 20 °C o menos","Alta digestibilidad y atractabilidad por su base de proteínas marinas
Mejora el crecimiento y salud larval
Contiene Vpak (Vitality Pak) para aumentar la resistencia a enfermedades
Optimiza el uso proteico sin comprometer la calidad del agua
Empaque con nitrógeno para asegurar estabilidad y seguridad del producto","• Dieta seca

Z PRO 150: Latas de 500 g envasadas con nitrógeno
Z PRO 250 y 350: Fundas de 4 kg envasadas con nitrógeno",AL022_Z_PRO_Microparticulados.png,AL022_Z_PRO_Microparticulados.PDF
35,AL023,ZM Feed para Zoea / Mysis,alimentos,"ZM FEED es una dieta microparticulada especialmente formulada para la alimentación de larvas de camarón en las etapas Zoea y Mysis, diseñada para su aplicación en tanques de laboratorio. Elaborado en Japón, este alimento combina ingredientes marinos de alta calidad y aditivos esenciales para garantizar un óptimo desarrollo larval. Su formulación equilibrada cumple con los requerimientos nutricionales de los primeros estadios del P. vannamei. Hecho en Japón.","APLICACIÓN
• Especialmente diseñado para larvas en etapas Zoea y Mysis
• Uso en tanques de laboratorio
• Formulación microparticulada de origen japonés
• Ingredientes marinos de alta calidad

COMPOSICIÓN
• Proteínas marinas seleccionadas
• Aditivos esenciales para desarrollo larval
• Micronutrientes específicos para P. vannamei","• Óptimo desarrollo larval en etapas Zoea y Mysis
• Formulación equilibrada según requerimientos nutricionales del P. vannamei
• Ingredientes marinos de alta calidad garantizan absorción nutricional
• Microparticulado facilita la ingesta en estadios larvales tempranos
• Tecnología japonesa de fabricación
• Mejora supervivencia y crecimiento larval",Producto importado de Japón. Presentación en envases apropiados para uso en laboratorio de larvas.,AL023_ZM_Feed_para_Zoea___Mysis.png,AL023_ZM_Feed_para_Zoea___Mysis.PDF
36,EQ001,Ammo Lock,equipos,"El amonio es un compuesto tóxico para los cultivos acuícolas porque ocasiona: Daños severos en las branquias, problemas en la osmorregulación, desgaste en los tejidos, disminución de la tasa de crecimiento e incluso mortalidades. Por ello, se elaboró AMMO LOCK, desintoxicante que tiene la capacidad de convertir el amonio en una forma no tóxica y evitar perjuicios por este compuesto dentro del estanque.","VOLUMEN DE AGUA: 10 galones DOSIS SUGERIDA: 5 mL
VOLUMEN DE AGUA: 1 tonelada DOSIS SUGERIDA: 125 mL","Actúa contrarrestando el efecto de cloro y cloraminas.
Está avalado por la Universidad de Georgia, Escuela de Medicina Veterinaria,
Departamento de Microbiología Médica.",Líquido. Envases de: 16 oz,EQ001_AMMO_LOCK.PNG,EQ001_AMMO_LOCK.PDF
37,EQ002,Balanzas Ohaus,equipos,Balanzas OHAUS de diferentes dimensiones y capacidades bajo pedido.,"- Pantalla LCD de alto contraste que indica claramente datos de peso y
aplicaciones, así como indicadores de estabilidad, condiciones de sobrecarga y estado de las
baterías.
- Botones para su fácil operación.
- Platillo redondo o cuadrado de acero inoxidable.
- Gancho integrado para pesar por debajo de la balanza.
- Conectividad USB o RS232 opcionales.
- Soporte de seguridad integral.
- Apagado automático.",,"- Balanza Scout Pro 400 x 0.1 g.
- Balanza Scout Pro 600 x 0.1 g.
- Balanza Scout Pro 2000 x 0.1 g.
- Balanza Scout Pro 1200 x 0.1 g.
- Balanza Triple Brazo con Dia",EQ002_BALANZAS_OHAUS.PNG,EQ002_BALANZAS_OHAUS.PDF
38,EQ003,Blowers All Star,equipos,,,"- Rendimiento de alta eficiencia
- Motor AC de jaula de 2 polos IP 54 TEFC
- Aislamiento clase H",,EQ003_BLOWERS_ALL_STAR.PNG,EQ003_BLOWERS_ALL_STAR.PDF
39,EQ004,Blowers Gast,equipos,Modelos con motor estándar.,,"- Construcción robusta de aluminio y hierro fundido.
- Contienen una nueva grasa de poliurea que extiende la vida del rodamiento y
ofrece una resistencia superior al lavado, oxidación y corrosión.
- Motores multi-voltaje a prueba de explosiones.",,EQ004_BLOWERS_GAST.PNG,EQ004_BLOWERS_GAST.PDF
40,EQ005,Bolso Filtrantes de Polipropileno,equipos,"El proceso de líquidos con bolsas filtrantes funciona como un filtro de
profundidad y es muy recomendable para filtrar líquidos con un gran número de
partículas sólidas o gelatinosas. En un filtro de profundidad, el área disponible para la retención de sólidos no
es solo la superficie del elemento de filtro, también actúa el grosor del medio
filtrante a través del cual se pasa.","- Clasificaciones de filtración de 1 - 5 - 10 - 50 micras.
- Alta capacidad de retención.
- Amplia compatibilidad química.
- Filtración económica.
- Material principal de fabricación: Polipropileno.","Su principal ventaja, es su alta capacidad de retención de partículas y su alto
flujo. Siendo una de las mejores soluciones económicas para muchas
aplicaciones de filtración de líquidos.","- Bolso filtrante corto 1 micra.
- Bolso filtrante largo 1 micra.
- Bolso filtrante corto 5 micras.
- Bolso filtrante largo 5 micras.
- Bolso filtrante largo 10 micras.
- Bolso filtrante largo 50 micras.",EQ005_BOLSO_FILTRANTES_DE_POLIPROPILENO.PNG,EQ005_BOLSO_FILTRANTES_DE_POLIPROPILENO.PDF
41,EQ006,Cámara Neubauer,equipos,"Cámara de Neubauer o hemocitómetro es un instrumento para realizar el
recuento de esporas y células en un medio líquido.","El cálculo de la concentración de células se puede expresar así:
- Partículas / μl = (partículas contadas) / [ (superficie contada (mm²)
profundidad de la cámara (mm) ] dilución.","Esta cámara de recuento está adaptada al microscopio de campo claro o al de
contraste de fases. Se cubre la cámara con un cubreobjetos que se adhiere por
simple tensión superficial (en especial una vez que se haya añadido la muestra
líquida).",,EQ006_CAMARA_NEUBAUER.PNG,EQ006_CAMARA_NEUBAUER.PDF
42,EQ007,Cámara Sedgewick,equipos,"Cámara de recuento Sedgewick Rafter para contar partículas y
microorganismos en 1 ml de agua u otros líquidos transparentes.","- La cámara de 50 x 20 x 1 mm (= 1 cm³) es graduada con un retículo de 1 mm que
subdivide 1 ml en 1000 μl.
- Entrega con un cubreobjetos aprox. 60 x 30 x 1 mm
- No se necesita el retículo para muchas aplicaciones, sobre todo para métodos
APHA y al analizar grandes especies de plancton.
- Es apta para el uso con microscopios convencionales y microscopios invertidos.
- Se puede usar en combinación con micrómetros oculares.","- Diseñadas para facilitar el recuento de grandes cantidades de zooplancton.
- El pequeño tamaño de nuestras cámaras, hace que sean aptas para utilizarse en
microscopio estereoscópico.",,EQ007_CAMARA_SEDGEWICK.PNG,EQ007_CAMARA_SEDGEWICK.PDF
43,EQ008,Chemetrics Kit de Alcalinidad Total,equipos,"Las pruebas de alcalinidad total de CHEMETRICS determinan el total usando un valorante de ácido clorhídrico y un indicador verde de bromocresol/rojo de
metilo. Los resultados son expresados como ppm (mg/L) CaCO3.",,"• Titulantes de un solo uso sellado y confiable.
• Procedimiento rápido y sencillo: no es necesario contar las gotas.
• No se necesitan buretas ni otros equipos.
• Se puede realizar una titulación en cualquier lugar.
• Apagado automático","30 pruebas de titulación de alcalinidad total: treinta ampollas con conjuntos de válvulas, solución activadora, titulador, vaso de muestra de 25 ml e instrucciones.",EQ008_CHEMETRICS_KIT_DE_ALCALINIDAD_TOTAL.PNG,EQ008_CHEMETRICS_KIT_DE_ALCALINIDAD_TOTAL.PDF
44,EQ009,Chemetrics Kit de Amonio,equipos,"Kit de Amonio Chemetrics, permite realizar pruebas para determinar concentraciones de amoníaco, son aplicables para acuarios, piscinas camaroneras, efluentes de aguas residuales, agua de mar, abastecimientos naturales de agua, aguas de calderas, aguas de reposición, etc.","El kit emplea la nesslerización directa. En una solución sumamente alcalina, el amoníaco reacciona con reactivo de Nessler (K2HgI4) para producir un complejo de color amarillo en proporción directa a la concentración de
amoníaco.",,30 ampollas,EQ009_CHEMETRICS_KIT_DE_AMONIO.PNG,EQ009_CHEMETRICS_KIT_DE_AMONIO.PDF
45,EQ010,Chemetrics Kit de Dióxido de Carbono,equipos,"El dióxido de carbono (CO2) disuelto está presente de forma natural como resultado de la respiración animal, la descomposición de la materia orgánica, y la descomposición de ciertos minerales. es la mayor fuente de acidez en muestras de agua. Los kits de prueba de dióxido de carbono de CHEMETRICS emplean un sodio Titulante de hidróxido e indicador de fenolftaleína. Los resultados se expresan como ppm (mg/L) de CO2.",Rango: 10 - 1000ppm,"• Titulantes de un solo uso sellados y confiables
• Procedimiento rápido y sencillo: no es necesario contar las gotas no se necesitan buretas ni otros equipos
• Se puede realizar la titulación en cualquier lugar",30 pruebas y contiene treinta ampollas con conjunto de válvula.,EQ010_CHEMETRICS_KIT_DE_DIOXIDO_DE_CARBONO.PNG,EQ010_CHEMETRICS_KIT_DE_DIOXIDO_DE_CARBONO.PDF
46,EQ011,Chemetrics Kit de Dureza,equipos,"La dureza es una medida del contenido mineral del agua. El calcio y el magnesio
son los minerales más comunes que contribuyen a la dureza.
El método para la de dureza total es aplicable a la industria de acuicultura,
aguas superficiales, de calderas y salmueras, piscinas camaroneras, etc.",Rango: 20 - 200ppm / Rango: 10 - 1000ppm,"• Titulantes de un solo uso sellados y confiables
• Procedimiento rápido y sencillo: no es necesario contar las gotas
• No se necesitan buretas ni otros equipos
• Se puede realizar la titulación en cualquier lugar
• El reactivo es estable
• Vida útil de 8 meses","30 pruebas por titulación: treinta ampollas con conjun-
tos de válvulas, titulador, vaso de muestra de 25 ml e instrucciones. Los resulta-
dos se expresan como ppm (mg/L) de CaCO3.",EQ011_CHEMETRICS_KIT_DE_DUREZA.PNG,EQ011_CHEMETRICS_KIT_DE_DUREZA.PDF
47,EQ012,Chemetrics Kit de Fosfato,equipos,"El kit de prueba para fosfato emplea la química del cloruro de estaño. En una
solución acídica, el ortofosfato reacciona con el molibdato de amonio para
formar ácido molibdofosfórico, que luego es reducido por el cloruro de estaño
al intensamente coloreado azul de molibdeno. La intensidad del color azul
resultante es directamente proporcional a la concentración de fosfato.",Rango: 0 - 0.1 & 0 - 1,,"30 pruebas: comparadores de rango bajo y alto, solución activadora, vaso de
muestra de 25 ml, tapa del vaso de muestra e instrucciones.",EQ012_CHEMETRICS_KIT_DE_FOSFATO.PNG,EQ012_CHEMETRICS_KIT_DE_FOSFATO.PDF
48,EQ013,Chemetrics Kit de Hierro,equipos,El método de análisis de hierro emplea la química de la fenantrolina. El hierro ferroso reacciona con fenantrolina para formar un complejo de color anaranjado con intensidad en proporción directa a la concentración de hierro ferroso. El hierro total se determina agregando una mezcla de ácido tioglicólico y amoníaco a la muestra. Esta mezcla disuelve la mayoría de las formas de hierro particulado.,Rango: 0 - 0.1 & 0 - 1,,"30 pruebas: recambio, comparadores de rango bajo y alto, solución activadora, vaso de muestra de 25 ml e instrucciones.",EQ013_CHEMETRICS_KIT_DE_HIERRO.PNG,EQ013_CHEMETRICS_KIT_DE_HIERRO.PDF
49,EQ014,Chemetrics Kit de Nitrato,equipos,"El kit de prueba para nitrato emplea el método de reducción de cadmio. El nitrato se reduce a nitrito en presencia de cadmio. En una solución acídica, el nitrito diazotiza con una amina aromática primaria y luego se une a otra molécula orgánica para producir un tinte rosa-anaranjado. La intensidad del color
resultante es directamente proporcional a la concentración de nitrato.",Rango: 0 - 4.5ppm,,"30 pruebas: recambio, comparador, vaso de muestra de
25 ml, tubo de reacción con tapa e instrucciones.",EQ014_CHEMETRICS_KIT_DE_NITRATO.PNG,EQ014_CHEMETRICS_KIT_DE_NITRATO.PDF
50,EQ015,Chemetrics Kit de Nitrito,equipos,"El kit de prueba para nitrito CHEMets emplea el método de formación de tinte. En una solución acídica, el nitrito diazotiza con una amina aromática primaria Dihidrocloruro de etilendiamina (NED) y luego se une a otra molécula orgánica para producir un tinte de color fuerte. La intensidad del color rosa resultante es proporcional a la concentración de nitrito en la muestra.",Rango: 0 - 0.1 & 0 - 1,,"30 pruebas: Comparadores de rango bajo y alto, Solución acidificante, vaso de
muestra de 25 mL e instrucciones.",EQ015_CHEMETRICS_KIT_DE_NITRITO.PNG,EQ015_CHEMETRICS_KIT_DE_NITRITO.PDF
51,EQ016,Chemetrics Kit de Peróxido de Hidrógeno,equipos,"Este kit de valoración de peróxido de hidrógeno viene en una caja de cartón y contiene todo lo necesario para realizar 30 pruebas: treinta ampollas con conjuntos de válvulas, jeringa de 1,0 ml, jeringa de 3,0 ml, titulador, vaso de muestra
de 25 ml, e instrucciones. El kit para peróxido de hidrógeno emplea un titulador de sulfato de cerio y
ferroína como indicador de resultado.",Rango: 0.1 - 1.0%,"• Titulantes de un solo uso sellados y confiables
• Procedimiento rápido y sencillo: no es necesario contar las gotas
• No se necesitan buretas ni otros equipos
• Se puede realizar la titulación en cualquier lugar",30 ampollas,EQ016_CHEMETRICS_KIT_DE_PEROXIDO_DE_HIDROGENO.PNG,EQ016_CHEMETRICS_KIT_DE_PERÓXIDO_DE_HIDRÓGENO.PDF
52,EQ017,Chemetrics Kit de Sulfito,equipos,"Los kits de prueba para sulfito emplean la químíca yodométrica. En una solución acídica, el sulfito se titula con un titulador de yoduro-yodato y un indicador
de almidón. Se añade ácido sulfámico a la muestra para evitar interferencias del
nitrito.",Rango: 0 - 0.1 & 0 - 1,,"30 pruebas: treinta ampollas con conjuntos de válvulas, solución neutralizadora, titulador, vaso de muestra de 25 ml e instrucciones.",EQ017_CHEMETRICS_KIT_DE_SULFITO.PNG,EQ017_CHEMETRICS_KIT_DE_SULFITO.PDF
