ID,Numero,Codigo_Producto,Nombre,Categoria,Subcategoria,Slug,Imagen,PDF_Ficha,Descripcion_Corta,Descripcion_Larga,Marca,Disponibilidad,Destacado,Tags,Beneficios,Presentacion,Especificaciones,Palabras_Clave,Fecha_Actualizacion
"26","26","AL015","GOLD FEED (Microparticulados)","alimentos","Microparticulados","gold-feed-microparticulados","/assets/images/productos/alimentos/AL015.png","/assets/pdfs/productos/alimentos/AL015_ficha.pdf","Alimento microparticulado premium para larvas de camarón.","Alimento microparticulado premium formulado especialmente para larvas de camarón en estadios de Mysis y Postlarva (PL). Su composición con ingredientes marinos de alta calidad asegura una nutrición eficiente, crecimiento saludable y excelente supervivencia.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microparticulados","Alta palatabilidad, digestibilidad y flotabilidad; Estimula el apetito, promueve una coloración oscura saludable del hepatopáncreas e intestino; Mejora el desempeño larval gracias a sus proteínas marinas altamente digeribles; Tamaños de partícula disponibles: <150 μm, <250 μm, <350 μm","Fundas de aluminio selladas al vacío de 3 kg; Almacenar en lugar fresco, seco y ventilado; No requiere refrigeración ni condiciones especiales de transporte","Proteína Cruda: 50% mín.; Grasa Cruda: 9% mín.; Fibra Cruda: 3% máx.; Ceniza Total: 8% máx.; Humedad: 5% máx.","microparticulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"27","27","AL016","FLAKE NEGRO DE ARTEMIA","alimentos","Flakes","flake-negro-de-artemia","/assets/images/productos/alimentos/AL016.png","/assets/pdfs/productos/alimentos/AL016_ficha.pdf","Dieta premium en hojuelas para larvas de camarón.","Dieta premium en hojuelas formulada para el óptimo desarrollo y sobrevivencia de larvas de camarón, especialmente eficaz durante los estadios de Mysis y Postlarva (PL). También puede utilizarse en larvas de peces. Su fórmula nutricionalmente balanceada proporciona proteínas, vitaminas y minerales esenciales para una salud robusta y crecimiento acelerado.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; flakes","Alta atractabilidad, palatabilidad y digestibilidad; Gran estabilidad y flotabilidad en la columna de agua; Proporciona una coloración oscura prolongada en el hepatopáncreas e intestino; Apoya una salud integral y mejora la vitalidad de las larvas","Baldes de 5 kg; Almacenar en un lugar fresco, seco, bien ventilado y protegido de la luz solar","Proteína Cruda: 45% mín.; Grasa Cruda: 9% mín.; Fibra Cruda: 3% máx.; Ceniza Total: 8% máx.; Humedad: 10% máx.","flakes; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"28","28","AL018","P. VANNAMEI Microparticulado","alimentos","Microparticulados","p-vannamei-microparticulado","/assets/images/productos/alimentos/AL018.png","/assets/pdfs/productos/alimentos/AL018_ficha.pdf","Dieta balanceada para cultivo de larvas de camarón Litopenaeus vannamei.","P. vannamei Microparticulado es una dieta balanceada diseñada por Higashimaru Co., Ltd. para el cultivo en laboratorio de larvas de camarón Litopenaeus vannamei. Esta dieta está formulada para cubrir los requerimientos nutricionales desde la etapa zoea hasta postlarva (PL), utilizando partículas de tres tamaños (30 a 300 micras) que se adaptan a las diferentes fases del desarrollo larval. Hecho en Japón.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microparticulados","Satisface los requerimientos nutricionales completos de larvas de P. vannamei; Optimiza el crecimiento desde zoea hasta postlarva; Favorece una alimentación eficiente según el tamaño larval; Mejora la tasa de supervivencia en cultivos de laboratorio; Apoya el desarrollo saludable y uniforme de las larvas; Formulación estable y de alta digestibilidad","Fundas de 1 kg; Conservar en un lugar fresco (15 °C / 57 °F) y seco; Evitar la exposición directa a la luz solar; Consumir lo antes posible después de abrir la bolsa","Proteína Cruda: 52% mín.; Grasa Cruda: 7% mín.; Fibra Cruda: 3% máx.; Ceniza Cruda: 16% máx.; Humedad: 10% máx.; Fósforo: 1% mín.","microparticulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.671266"
"29","29","AL019","ZM FEED PARA ZOEA / MYSIS","alimentos","Zooplancton","zm-feed-para-zoea-mysis","/assets/images/productos/alimentos/AL019.png","/assets/pdfs/productos/alimentos/AL019_ficha.pdf","Dieta microparticulada para larvas de camarón en etapas Zoea y Mysis.","ZM FEED es una dieta microparticulada especialmente formulada para la alimentación de larvas de camarón en las etapas Zoea y Mysis, diseñada para su aplicación en tanques de laboratorio. Elaborado en Japón, este alimento combina ingredientes marinos de alta calidad y aditivos esenciales para garantizar un óptimo desarrollo larval. Su formulación equilibrada cumple con los requerimientos nutricionales de los primeros estadios del P. vannamei.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; zooplancton","Tamaño de partícula óptimo para Zoea y Mysis; Estimula el desarrollo larval con proteínas de origen marino de alta digestibilidad; Contiene espirulina, astaxantina y vitamina B, esenciales para activar coenzimas del P. vannamei; Refuerza el sistema inmunológico de la larva; Alta palatabilidad y absorción de nutrientes desde etapas tempranas; Formulación especializada para maximizar supervivencia y crecimiento uniforme","Fundas de 1 kg; Mantener en lugar fresco (15 °C / 57 °F) y seco; Proteger de la luz solar directa; Consumir lo antes posible después de abrir la bolsa","Proteína Cruda (Zoea): 58% mín.; Grasa Cruda (Zoea): 14% mín.; Proteína Cruda (Mysis): 55% mín.; Grasa Cruda (Mysis): 15% mín.; Fibra Cruda: 3% máx.","camarones; zooplancton; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.781853"
"30","30","AL023","KRILL CONGELADO","alimentos","Congelados","krill-congelado","/assets/images/productos/alimentos/AL023.png","/assets/pdfs/productos/alimentos/AL023_ficha.pdf","Krill congelado para cultivos de peces y camarones en etapa de maduración.","El Krill (FRESH FROZEN KRILL – ANTARTIC KRILL) procesado en Canadá y capturado en el Océano Austral, es un alimento ampliamente utilizado en la acuicultura, en cultivos de peces y camarones, principalmente en la etapa de maduración. Alimento con alto contenido de Omega-3 que promueve la salud y bienestar del camarón por sus altos contenidos de fosfolípidos, colina y astaxantina, los mismos que realizan funciones biológicas esenciales tanto como factores enzimáticos, como reguladores del sistema inmune.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; congelados","Incrementa porcentaje en hembras copuladas; Mayor número de nauplios por hembra; Porcentaje mayor de huevos viables; Nauplios de mejor calidad; Alta supervivencia en las postlarvas; Mejora la sobrevivencia en hembras","Presentación de 25kg; Mantener congelado a -20°C; Debe estar protegido de la humedad, contaminación, luz directa del sol; No apto para el consumo humano","Proteína: 12% mín.; Grasa: 4% mín.; Ceniza: 2.3% mín.; Colesterol: 46 mg mín.; Fibra: 1% mín.; Humedad: 80% máx.","camarones; congelados; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.762553"
"31","31","AL006","EZ LARVA (Microencapsulados)","alimentos","Microparticulados","ez-larva-microencapsulados","/assets/images/productos/alimentos/AL006.png","/assets/pdfs/productos/alimentos/AL006_EZ_LARVA_Microencapsulados_ficha.pdf","Alimento microencapsulado para larvas de camarón en todas sus etapas.","Alimento microencapsulado desarrollado especialmente para larvas de camarón en todas sus etapas. Proporciona nutrición completa y balanceada para optimizar el crecimiento y desarrollo larval.","PRILABSA","InStock","true","alimentos; acuicultura; prilabsa; microencapsulados","Nutrición completa para todas las etapas larvales; Microencapsulación para mejor estabilidad en agua; Alta digestibilidad y aprovechamiento nutricional; Optimiza crecimiento y supervivencia larval","Latas de 100g; Latas de 500g; Almacenar en lugar fresco y seco","Proteína: 50% mín.; Grasa: 15% mín.; Fibra: 3% máx.; Ceniza: 15% máx.; Humedad: 12% máx.","microencapsulados; larvas; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"32","32","AL012","CISTOS DE ARTEMIA","alimentos","Cistos","cistos-de-artemia","/assets/images/productos/alimentos/AL012.png","/assets/pdfs/productos/alimentos/cistos/AL012_CISTOS_DE_ARTEMIA_ficha.pdf","Quistes de Artemia franciscana de alta calidad.","Quistes de Artemia franciscana cosechados en el Gran Lago Salado de Utah, EE.UU., con altos estándares de calidad y tecnología de procesamiento. Pueden usarse hidratados o decapsulados, según necesidad.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; cistos","Objecto bioseguro; Alto valor nutricional; Ideal para alimentación larvaria por su pequeño tamaño de nauplio; Excelente digestibilidad y fácil manipulación","Latas selladas al vacío de 454g; Baldes sellados al vacío de 7kg","Proteína Cruda: 54% mín.; Grasa Cruda: 14.2% mín.; Fibra Cruda: 27.3% máx.; Humedad: 3.6% máx.","cistos; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.732156"
"33","33","AL017","ESPIRULINA","alimentos","Algas","espirulina","/assets/images/productos/alimentos/AL017.png","/assets/pdfs/productos/alimentos/algas/AL017_ESPIRULINA_ficha.pdf","Microalga azul verdosa comestible, ideal como ración o aditivo.","La Espirulina Mackay Marine es una microalga azul verdosa comestible (Arthrospira platensis), cultivada y procesada en EE.UU. Se presenta en forma de polvo fino con un alto contenido nutricional. Ideal como ración o aditivo para el cultivo de larvas de camarón, larvas de peces y artemia.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; algas","Aumenta la fertilidad y la reproducción en cultivos acuáticos; Mejora el crecimiento y peso de larvas de camarón, peces y artemia; Estimula el apetito; Mejora la coloración natural de diversas especies acuáticas; Fuente natural de proteínas, vitaminas y pigmentos bioactivos","Spirulina Microfina: Lata de 500 g (sellada al vacío); Spirulina Regular: Funda de 1 kg","Proteína cruda (mínima): 60–70%; Carbohidratos (mínima): 15–20%; Grasa cruda (máxima): 6–8%; Fibra cruda (máxima): 8–10%; Minerales (máxima): 7–10%; Humedad (máxima): 3–7%; Ácido linoleico: 10 mg; Ácido gamma-linolénico (GLA): 20 mg; Ficocianina (azul): 150 mg; Clorofila (verde): 11 mg; Carotenoides: 3.5 mg; Densidad: 0.45–0.60 (en agua); Ingrediente activo: Arthrospira platensis","algas; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.666373"
"34","34","AL020","ARTEMIA ADULTA CONGELADA","alimentos","Congelados","artemia-adulta-congelada","/assets/images/productos/alimentos/AL020.png","/assets/pdfs/productos/alimentos/congelados/AL020_ARTEMIA_ADULTA_CONGELADA_ficha.pdf","Biomasa de artemia adulta enriquecida y congelada para laboratorios.","La biomasa de artemia adulta enriquecida y congelada (Artemia Frozen), está lista para ser utilizada en los laboratorios de producción de nauplios y postlarvas de camarón.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; congelados","Teniendo muy seriamente en cuenta que la bioseguridad es un factor vital en la industria acuícola, certificamos que la artemia congelada esta libre de patógenos virales específicos tales como: WSSV (White Spot Syndrome Virus), IHHNV (Infectious Hypodermal and Haemotopoietic Necrosis Virus), TSV (Taura Syndrome Virus), YHV (Yellow Head Virus).","Fundas de 1 kg; Almacenar a -18°C","INGREDIENTES ACTIVOS: Biomasa de Artemia enriquecida con vitaminas.; Proteína: 58%; Lípidos: 13%; Ácidos grasos: 15.3 mg/g; Vitamina C: 1000 ppm; Vitamina A: 10000 IU/Kg; Vitamina E: 300 ppm; Vitamina D3: 3000 IU/Kg; Astaxantina: 250 ppm; N-3 HUFA's: 200 mg/g; DHA: 2.74 mg/g","camarones; congelados; acuicultura; prilabsa; alimentos","2025-01-15T10:00:00.000Z"
"35","35","AL021","CALAMARES","alimentos","Congelados","calamares","/assets/images/productos/alimentos/AL021.png","/assets/pdfs/productos/alimentos/congelados/AL021_CALAMARES_ficha.pdf","Alimento natural congelado rico en ácidos grasos omega-3.","La alimentación es de fundamental importancia en el proceso de maduración y reproducción. Dentro de los compuestos fundamentales en la dieta se encuentran los ácidos grasos de la serie linolénica (W3, de origen marino), colesterol y sus derivados aportados por la dieta del calamar.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; congelados","Por ser un producto de alta calidad puede ser usado como carnada para la actividad de pesca deportiva e industrial. En ciertos casos se utilizan algunos de estos alimentos naturales suplementados con dietas peletizadas como EZ mate y Redimate.","Bloques congelados de 10kg; Almacenar a -18°C","Proteína: 16%; Humedad: 80%; Grasa: 1.2 gramos; Carbohidratos: 4 gramos; Sodio: 298 mg; Calorías: 140; Grasa corporal 7mm- w3 PERFIL DE ÁCIDOS GRASOS Monoinsaturados: 5.4%; Poliinsaturados: 59.50%","camarones; congelados; acuicultura; prilabsa; alimentos","2025-01-15T10:00:00.000Z"
"36","36","AL022","MEJILLONES","alimentos","Congelados","mejillones","/assets/images/productos/alimentos/AL022.png","/assets/pdfs/productos/alimentos/congelados/AL022_MEJILLONES_ficha.pdf","Moluscos congelados ricos en ácidos grasos Omega-3 EPA y DHA.","Dentro de los compuestos fundamentales en la dieta se encuentran los ácidos grasos de la serie linolénica (w3, de origen marino), colesterol y sus derivados. Los moluscos como los mejillones pueden suministrar hasta 94,6 kcal a partir del consumo de ácidos grasos Omega-3 EPA y DHA, ambos como fuente nutricional más adecuada en la maduración combinada con calamares y artemia. También contiene los aminoácidos esenciales como la lisina que contribuye a la regulación celular.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; congelados","El mejillón es considerado un buen alimento para el proceso de maduración de los camarones en tanques controlados, ya que aporta nutrientes como las proteínas, aminoácidos esenciales, ácidos grasos Omega-3, vitamina B-12, Fósforo, Potasio y Zinc.","Cartones de 13,4kg con fundas transparentes de 3.35kg; Almacenar a -18°C","Proteína: 14,8 gr; Grasas totales (ácidos grasos saturados): 1,08 gr; Carbohidratos: 6,36 gr; EPA: 231 mg; DHA: 92,6 mg; Calorías: 94,6 kcal; Humedad: (Máximo) 37%","camarones; congelados; acuicultura; prilabsa; alimentos","2025-01-15T10:00:00.000Z"
"37","37","PB001","TERMINATE","probioticos","Solidos","terminate","/assets/images/productos/probioticos/PB001.png","/assets/pdfs/productos/probioticos/PB001_TERMINATE_ficha.pdf","Mezcla de bacterias liofilizadas para mejorar la salud del animal.","Terminate es una mezcla que contiene cuatro tipos de bacterias liofilizadas de diferentes usos, las cuales sirven para mejorar la salud del animal, y promover un medio sano para el cultivo de camarones o peces. Contiene aminoácidos y minerales.","PRILABSA","InStock","false","probioticos; acuicultura; prilabsa; solidos","Disminuye niveles de metabolitos tóxicos tales como amonio, nitrito y otros gases nocivos; Disuelve materia en descomposición, alimento no consumido y demás material orgánico precipitable; Reduce altas concentraciones de algas azul verdosas en los estanques evitando olores y sabores desagradables; Puede ser aplicado durante la preparación de la piscina o con poblaciones de organismos acuáticos; Sirve como biorremediador de aguas estancadas y actúa tanto en agua dulce como en agua salada; Coloniza el sistema digestivo del camarón, mejorando la absorción de nutrientes; Protege al animal de bacterias patógenas, promoviendo el crecimiento y supervivencia del cultivo","Tachos de 1 kg en 4 fundas biodegradables de 250gr c/u; Almacenar en un lugar fresco, seco, bien ventilado, no exponer a la luz solar y alejarlo de las paredes; No requiere refrigeración; No requiere condiciones especiales de transporte","Aplicación laboratorio - Tanque producción larvas: Puntas/retrolavado: 100gr en 1 tonelada de agua; Cultivo de artemia: 1gr en 1 tonelada de agua; Camaronera - En agua: 200-500gr/ha/semana; En alimento - Mantenimiento: 4-6g/kg de alimento; En alimento - Tratamiento: 10g/kg de alimento","probioticos; camarones; acuicultura; prilabsa; solidos","2025-07-19T17:20:20.064752"
"38","38","PB002","PONDTOSS","probioticos","Liquidos","pondtoss","/assets/images/productos/probioticos/PB002.png","/assets/pdfs/productos/probioticos/PB002_PONDTOSS_ficha.pdf","Premezclas de bacterias para degradar desechos orgánicos.","PondToss son premezclas de bacterias de diferentes usos, las cuales sirven para degradar desechos orgánicamente sano para el cultivo de camarones o peces. Se compone de cepas de bacterias liofilizadas, las cuales son microorganismos encargados de digerir altas concentraciones de materia orgánica de una manera segura y natural.","PRILABSA","InStock","false","probioticos; acuicultura; prilabsa; liquidos","Produce péptidos que ayudan a combatir a los patógenos negativos como vibrios; Produce Bio-Floc como alimento proteinizado mientras controla los componentes del agua; Coloniza el tracto digestivo de los organismos; Mejora el crecimiento, supervivencia y conversión alimenticia en camarones y peces; Reduce la demanda biológica de oxígeno (DBO); Elimina sabores y olores desagradables; Se puede aplicar durante la preparación de los estanques o durante el cultivo","Presentación de 1 kilo en 4 fundas biodegradables de 250gr c/u; Almacenar en un lugar fresco, seco, bien ventilado, no exponer a la luz solar y alejarlo de las paredes; No requiere de Refrigeración; No requiere condiciones especiales de transporte; Laboratorio: 3gr./ton cada 6-8 horas; Camaronera - Dosis inicial: 1 kg./ha una vez por dos semanas; Mantenimiento: 0,5 kg./ha semana, durante el ciclo de engorde; Para eliminar el mal sabor del camarón: 1 kg/ha, dos días antes de cosecha","Concentración: 4% UFC; Bacillus pumilus: 4.95 x 10⁸ cfu/g; Bacillus subtilis: 7.70 x 10⁸ cfu/g; Bacillus amyloliquefaciens: 7.15 x 10⁸ cfu/g; Bacillus licheniformis: 2.20 x 10⁸ cfu/g; Aminoácidos: 24.2%; Micronutrientes Trazas: 2.7%; Conteo de bacterias: 6 x 10⁹; pH: Neutro; Rango eficaz del pH: 5.8 a 10.5; Tiempo de vida útil: 3 años; Rango eficaz de temperatura: 10° a 38°C (50° a 100° F)","probioticos; camarones; liquidos; acuicultura; prilabsa","2025-07-19T17:20:20.046420"
"39","39","PB003","WASTE & SLUDGE REDUCER™ (WSR)","probioticos","Reductores","waste-sludge-reducer-wsr","/assets/images/productos/probioticos/PB003.png","/assets/pdfs/productos/probioticos/PB003_WASTE_SLUDGE_REDUCER_ficha.pdf","Cepas bacterianas probióticas para mejorar calidad del suelo y agua.","Contiene cepas bacterianas probióticas que mejoran la calidad del suelo y agua. Contiene cuatro especies de Bacillus que usan múltiples modos de acción para disminuir desechos orgánicos. El producto contiene bacterias esporuladas para garantizar altas concentraciones de bacterias vivas.","PRILABSA","InStock","false","probioticos; acuicultura; prilabsa; reductores","Biorremediador de suelo, disminuye la materia orgánica; Reduce los residuos orgánicos, las heces, los olores desagradables y los sólidos suspendidos; Reducción de la demanda biológica de oxígeno (DBO) y mejoramiento del potencial redox; Reduce las concentraciones de amonio, nitrito, sulfuro de hidrógeno, hierro y otros gases nocivos; Puede aplicarse durante la preparación o con poblaciones de organismos (camarones o peces); Actúa en agua dulce, salobre y agua salada; Sirve como biorremediador del canal de reservorio, canal de drenaje y aguas estancadas","Tachos de 3kg, tabletas de 3gr de color azul; Almacenar en un lugar fresco, seco, bien ventilado, no exponer a la luz solar y alejado de las paredes; No requiere de Refrigeración; No requiere condiciones especiales de transporte; Seguro para el uso indicado, mantener fuera del alcance de los niños; Laboratorio: 3-6gr/ton (1-2 pastillas); Camaronera - Canales de drenaje y reservorio: 250gr cada 100m/semana; Dosis: 0.25-1.00kg/ha/semana según el porcentaje de materia orgánica","Concentración: 6% UFC; Bacillus amyloliquefaciens: 1.02 x 10⁹ ufc/g; Bacillus licheniformis: 5.10 x 10⁸ ufc/g; Bacillus megaterium: 5.10 x 10⁸ ufc/g; Bacillus pumilus: 5.10 x 10⁸ ufc/g; Carrier: 94% cloruro de sodio; Aspecto: Píldora azul; pH: Neutro; Rango eficaz del pH: 5.8 a 10.5; Tiempo de vida útil: 3 años; Rango eficaz de temperatura: 10° a 38°C (50° a 100° F)","probioticos; camarones; reductores; acuicultura; prilabsa","2025-07-19T17:20:20.039703"
"40","40","PB004","HATCHERY PRIME","probioticos","Especializados","hatchery-prime","/assets/images/productos/probioticos/PB004.png","/assets/pdfs/productos/probioticos/PB004_HATCHERY_PRIME_ficha.pdf","Objecto de biorremediación para criaderos de acuicultura.","Es un producto de biorremediación utilizado en los criaderos de acuicultura para mejorar la calidad del agua y reducir los patógenos que alteran las condiciones del ambiente, estimulando el crecimiento de microorganismos para degradar contaminantes.","PRILABSA","InStock","false","probioticos; acuicultura; prilabsa; especializados","Disminuye amoníaco para mejorar la calidad del agua; Inhíbe, suprime y excluye competitivamente las bacterias patógenas, incluido el Vibrio; Contiene bacterias esporuladas no patógenas para garantizar altas concentraciones de bacterias vivas; Se puede aplicar durante la preparación o con poblaciones de organismos (camarones o peces); Actúa en agua dulce, salobre y salada","Tachos de 3kg, tabletas de 3gr de color blanco-amarillento; Almacenar en un lugar fresco, seco, bien ventilado, no exponer a la luz solar y alejarlo de las paredes; No requiere de Refrigeración; No requiere condiciones especiales de transporte; Para uso en acuacultura, para mejorar la calidad del agua y reducir los patógenos; No apto para consumo humano","Concentración: 10% UFC; Conteo de bacterias: 1.00 x 10⁹ ufc/g; Bacillus amyloliquefaciens: 1.00 x 10⁹ ufc/g; Bacillus licheniformis: 1.00 x 10⁹ ufc/g; Bacillus polymyxa: 1.00 x 10⁹ ufc/g; Bacillus pumilus: 2.00 x 10⁹ ufc/g; Carrier: 90% Cloruro de sodio; Conteo total de bacterias: 5.00 x 10⁹ ufc/g; pH: Neutro; Rango eficaz del pH: 5.8 - 10.5; Tiempo de vida útil: 5.8 - 10.5; Temperatura eficaz: 10 - 30°C","probioticos; camarones; especializados; acuicultura; prilabsa","2025-07-19T17:20:20.055278"
"41","41","QU015","CLORO GRANULADO","quimicos","Desinfectantes","cloro-granulado","/assets/images/productos/quimicos/QU015.png","/assets/pdfs/productos/quimicos/QU015_CLORO_GRANULADO_ficha.pdf","Desinfectante de amplio espectro con un 70% de pureza, utilizado como parte de los programas de bioseguridad.","Desinfectante de amplio espectro con un 70% de pureza, utilizado como parte de los programas de bioseguridad en laboratorios, criaderos, camaroneras y empacadoras.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Elimina eficazmente microorganismos patógenos.; Favorece programas de bioseguridad en centros de producción acuícola.; Previene brotes de enfermedades antes de la siembra de postlarvas.; Ideal para limpieza profunda de superficies, equipos y sistemas hidráulicos.","Almacenamiento:; Guardar en lugar seco y ventilado.; Mantener en su empaque original, alejado de la luz solar directa.; Evitar el contacto con materiales combustibles y fuentes de ignición.","Forma: Granulado; Concentración activa: 70%; Aplicación: Disolución en agua para uso externo; Color: Blanco; Olor: Clorado","camarones; desinfectantes; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"42","42","QU004","PERÓXIDO DE HIDRÓGENO","quimicos","Oxidantes","peroxido-de-hidrogeno","/assets/images/productos/quimicos/QU004.png","/assets/pdfs/productos/quimicos/QU004_PEROXIDO_DE_HIDROGENO_ficha.pdf","Agente oxidante utilizado para el tratamiento de agua en acuicultura.","Agente oxidante utilizado para el tratamiento de agua en acuicultura, efectivo contra bacterias, virus y hongos.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Potente agente oxidante y desinfectante.; Efectivo contra bacterias, virus y hongos.; Se descompone en agua y oxígeno, no deja residuos tóxicos.; Mejora los niveles de oxígeno disuelto en el agua.","Presentación:; Bidones de 25 kg.; Almacenamiento:; Mantener en lugar fresco, seco y ventilado.; Evitar el contacto con materiales orgánicos y metales.","Concentración: 35%; Forma: Líquido; Color: Incoloro; pH: Ácido (2-4); Densidad: 1.13 g/cm³","camarones; oxidantes; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"43","43","QU006","ÁCIDO HÚMICO","quimicos","General","acido-humico","/assets/images/productos/quimicos/QU006.png","/assets/pdfs/productos/quimicos/QU006_NITRATO_DE_SODIO_ficha.pdf","Ácido orgánico natural que mejora la calidad del agua.","Ácido orgánico natural que mejora la calidad del agua y estimula el crecimiento de organismos acuáticos.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Mejora la calidad del agua.; Estimula el crecimiento de organismos acuáticos.; Reduce el estrés en los organismos.; Actúa como quelante natural de metales pesados.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco y ventilado.; Evitar la humedad.","Concentración: 85%; Forma: Polvo; Color: Negro; Solubilidad: Soluble en agua alcalina; pH: 4-6","camarones; general; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"44","44","QU009","ÁCIDO FÓRMICO","quimicos","General","acido-formico","/assets/images/productos/quimicos/QU009.png","/assets/pdfs/productos/quimicos/QU009_ACIDO_FORMICO_ficha.pdf","Ácido orgánico utilizado como acidificante y conservante.","Ácido orgánico utilizado como acidificante y conservante en la industria acuícola.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Efectivo acidificante para ajuste de pH.; Propiedades antimicrobianas.; Mejora la digestibilidad de alimentos.; Conservante natural.","Presentación:; Bidones de 25 kg.; Almacenamiento:; Mantener en lugar fresco y ventilado.; Evitar el contacto con metales.","Concentración: 85%; Forma: Líquido; Color: Incoloro; Densidad: 1.22 g/cm³; pH: Ácido (1.8)","camarones; general; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"45","45","QU008","ÁCIDO NÍTRICO","quimicos","General","acido-nitrico","/assets/images/productos/quimicos/QU008.png","/assets/pdfs/productos/quimicos/QU008_ACIDO_HUMICO_ficha.pdf","Ácido inorgánico fuerte utilizado para limpieza y desinfección.","Ácido inorgánico fuerte utilizado para limpieza y desinfección de equipos en acuicultura.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Potente agente de limpieza.; Efectivo para remoción de incrustaciones.; Desinfectante de equipos.; Elimina biofilms y depósitos minerales.","Presentación:; Bidones de 25 kg.; Almacenamiento:; Mantener en lugar fresco, seco y ventilado.; Evitar el contacto con materiales orgánicos.","Concentración: 65%; Forma: Líquido; Color: Incoloro a amarillo pálido; Densidad: 1.40 g/cm³; pH: Muy ácido (<1)","camarones; general; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"46","46","QU010","ORTHOTOLIDINE (OTO)","quimicos","General","orthotolidine-oto","/assets/images/productos/quimicos/QU010.png","/assets/pdfs/productos/quimicos/QU010_ACIDO_NITRICO_ficha.pdf","Reactivo químico para determinación colorimétrica de cloro libre.","Reactivo químico utilizado para la determinación colorimétrica de cloro libre en agua.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Determinación precisa de cloro libre.; Método colorimétrico simple.; Resultados rápidos y confiables.; Esencial para control de calidad del agua.","Presentación:; Frascos de 100g.; Almacenamiento:; Mantener en lugar seco y oscuro.; Evitar la exposición a la luz.","Pureza: ≥98%; Forma: Polvo cristalino; Color: Blanco a amarillo pálido; Solubilidad: Soluble en alcohol; Punto de fusión: 129-131°C","camarones; general; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"47","47","QU011","FORMALDEHÍDO (FORMOL)","quimicos","Desinfectantes","formaldehido-formol","/assets/images/productos/quimicos/QU011.png","/assets/pdfs/productos/quimicos/QU011_FORMALDEHIDO_FORMOL_ficha.pdf","Desinfectante potente al 37% contra virus, bacterias y parásitos.","Formaldehído al 37% utilizado como desinfectante potente contra virus, bacterias y parásitos. Requiere manejo especializado por personal capacitado debido a su alta efectividad y características químicas.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Desinfectante de amplio espectro altamente efectivo.; Elimina virus, bacterias y parásitos.; Acción rápida y potente.; Esencial para bioseguridad en acuicultura.","Presentación:; Bidones de 25 litros.; Almacenamiento:; Mantener en lugar fresco y ventilado.; Requiere manejo especializado.","Concentración: 37%; Forma: Líquido; Color: Incoloro; Densidad: 1.08 g/cm³; pH: Ácido (2.8-4.0)","camarones; desinfectantes; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
